Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
58th,Sponsorius,23m 09s 470ms,21m 54s 600ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
59th,MallardTV,22m 03s,21m 59s,1.16.1,Easy,F3,JellySquid,2 months ago
60th,T_Wag,22m 05s,22m 04s 600ms,1.16.1,Normal,F3,Vanilla,3 months ago
61st,ItsssLolo,22m 06s 920ms,22m 06s 920ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
62nd,adjournment,22m 06s 967ms,22m 06s 967ms,1.16.1,Easy,F3,JellySquid,1 month ago
63rd,nEmerald,22m 20s 010ms,22m 09s 100ms,1.16.1,Normal,F3,JellySquid,1 week ago
64th,Hoffik,24m 14s 210ms,22m 09s 700ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
65th,Heaven24x,22m 13s 830ms,22m 10s,1.16.1,Easy,F3,Vanilla,1 month ago
66th,Tookann,23m 25s 967ms,22m 16s 050ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
67th,Fyroah,22m 31s 460ms,22m 16s 350ms,1.16.1,Easy,F3,JellySquid,2 months ago
68th,RaeveZ,22m 20s 920ms,22m 20s 700ms,1.16.1,Normal,F3,Vanilla,1 month ago
69th,Qnly_qdm,22m 27s 367ms,22m 22s 934ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
70th,tekniik,22m 28s 050ms,22m 23s 300ms,1.16.1,Easy,F3,JellySquid,1 month ago
71st,oSilentPlays,22m 33s 230ms,22m 26s 050ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
72nd,zgeez,22m 26s 750ms,22m 26s 750ms,1.16,Easy,F3,Vanilla,1 month ago
73rd,Kha0x,22m 27s 050ms,22m 27s 050ms,1.16.1,Normal,F3,Vanilla,1 month ago
74th,Quetrical,22m 04s 043ms,22m 28s,1.16.1,Easy,F3,Vanilla,1 month ago
75th,Bellex,22m 29s 383ms,22m 29s 383ms,1.16.1,Normal,F3,JellySquid,2 months ago
76th,AgarOther,22m 44s 010ms,22m 37s 050ms,1.16.1,Normal,F3,JellySquid,1 month ago
77th,Spropl,23m 17s 430ms,22m 39s 850ms,1.16.1,Easy,F3,JellySquid,1 month ago
78th,Jymnasium,22m 46s 680ms,22m 44s,1.16.1,Easy,F3,JellySquid,3 months ago
79th,Firework,23m 18s 047ms,22m 48s 085ms,1.16.1,Easy,F3,JellySquid,1 month ago
80th,Rayzor,22m 50s 670ms,22m 50s 670ms,1.16.1,Easy,F3,JellySquid,1 month ago
81st,M4xx,23m 00s,22m 52s 550ms,1.16.1,Hardcore,No F3,JellySquid,2 months ago
82nd,BooleanC5,22m 58s 860ms,22m 53s 900ms,1.16.1,Normal,F3,Vanilla,1 month ago
83rd,poodybooty,22m 58s 740ms,22m 57s 280ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
84th,AceRPx,23m 06s 500ms,23m 06s 500ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
85th,daverob,23m 20s 440ms,23m 07s 700ms,1.16.1,Normal,F3,Vanilla,1 month ago
86th,Kokos,23m 25s 810ms,23m 12s 300ms,1.16.1,Easy,F3,Vanilla,2 months ago
87th,felipebtw,23m 35s 630ms,23m 14s 450ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
88th,EniarkuAvals,23m 30s 410ms,23m 16s 300ms,1.16.1,Easy,F3,JellySquid,2 months ago
89th,Horsey,25m 20s,23m 19s,1.16.1,,F3,JellySquid,3 weeks ago
90th,shotgiy12,23m 29s 840ms,23m 29s 840ms,1.16.1,Normal,F3,Optifine,5 months ago
91st,Decavex,23m 52s 700ms,23m 31s 550ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
92nd,cngx,24m 34s 210ms,23m 32s 950ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
93rd,KEYL000,23m 35s 015ms,23m 35s 020ms,1.16.1,Normal,F3,JellySquid,3 months ago
94th,Shipopi,23m 48s 350ms,23m 35s 900ms,1.16.1,Easy,F3,JellySquid,2 months ago
95th,RadVR,23m 43s 440ms,23m 39s 050ms,1.16.1,Easy,F3,JellySquid,1 week ago
96th,klydezzz,23m 58s 200ms,23m 41s 667ms,1.16.1,Easy,F3,JellySquid,1 month ago
97th,silverdrmario,23m 45s 110ms,23m 42s 350ms,1.16.1,Easy,F3,Vanilla,1 week ago
98th,cadethesloth,23m 47s 230ms,23m 42s 500ms,1.16.1,Easy,F3,JellySquid,1 week ago
99th,TheTalkingMime,23m 59s 910ms,23m 43s 800ms,1.16.1,Easy,F3,Vanilla,1 month ago
100th,MalonMusk,24m 07s 890ms,23m 49s 100ms,1.16.1,Normal,F3,Vanilla,1 month ago
101st,retropog,24m 05s 420ms,23m 51s 180ms,1.16.1,Easy,F3,JellySquid,1 month ago
102nd,Zayahh,24m 23s 367ms,23m 58s 150ms,1.16.1,Normal,F3,JellySquid,2 months ago
103rd,Cezoram,23m 59s 005ms,23m 59s 005ms,1.16.1,Easy,F3,Vanilla,1 month ago
104th,Luxik,24m 00s 660ms,23m 59s 660ms,1.16.1,Easy,F3,Vanilla,1 month ago
105th,GhilleSuitDude,24m 01s 820ms,24m 01s 820ms,1.16.1,Easy,F3,Vanilla,1 month ago
106th,zakvielchannel,24m 02s 020ms,24m 02s,1.16.1,Normal,F3,Vanilla,2 months ago
107th,NEslacks,25m 15s 110ms,24m 06s 450ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
108th,7rowl,24m 29s 500ms,24m 06s 600ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
109th,21mustard,24m 30s 750ms,24m 08s 600ms,1.16.1,Easy,F3,Vanilla,1 month ago
110th,Draaph,24m 14s 920ms,24m 08s 700ms,1.16.1,Easy,F3,JellySquid,2 months ago
111th,juh0,24m 16s 280ms,24m 10s 700ms,1.16.1,Normal,F3,Vanilla,2 months ago
112th,tidusMAX,24m 21s 550ms,24m 12s 800ms,1.16.1,Easy,F3,JellySquid,1 month ago
113th,DougThePig,24m 33s 330ms,24m 14s 150ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
114th,ZaqAttack,24m 14s 600ms,24m 14s 600ms,1.16.1,Normal,F3,Vanilla,3 months ago
115th,Shell_Guy,24m 24s 450ms,24m 14s 900ms,1.16.1,Easy,F3,JellySquid,4 months ago
116th,Blyez,24m 19s 200ms,24m 16s 600ms,1.16.1,Hardcore,F3,JellySquid,2 months ago
117th,SNooFL,24m 42s 270ms,24m 17s 700ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
118th,GigaFang,24m 20s 095ms,24m 18s 080ms,1.16.1,Normal,F3,Vanilla,2 months ago
119th,SuperstarJFG,24m 47s 817ms,24m 18s 500ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
120th,Flaff,25m 04s 250ms,24m 19s 750ms,1.16,Normal,F3,JellySquid,1 month ago
121st,Javascript,24m 23s 433ms,24m 20s 633ms,1.16.1,Easy,F3,Vanilla,3 months ago
122nd,xlourx,24m 33s 620ms,24m 26s 100ms,1.16.1,Normal,F3,JellySquid,2 months ago
